timestamp,model,split,accuracy,f1_macro,f1_weighted,healthy_precision,healthy_recall,healthy_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1
20260603_151534,SVM+CamemBERT,train,0.994,0.994,0.994,0.993,0.9957,0.9944,0.9951,0.992,0.9935
20260603_151534,SVM+CamemBERT,test,0.9178,0.9175,0.9178,0.9236,0.9221,0.9228,0.9113,0.913,0.9122
20260603_151534,SVM+TF-IDF,train,0.9998,0.9998,0.9998,0.9996,1.0,0.9998,1.0,0.9996,0.9998
20260603_151534,SVM+TF-IDF,test,0.9718,0.9716,0.9718,0.9706,0.9766,0.9736,0.9732,0.9663,0.9697
