timestamp,model,split,accuracy,f1_macro,f1_weighted,healthy_precision,healthy_recall,healthy_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1
20260603_172116,LR+CamemBERT,train,0.9365,0.9362,0.9365,0.9383,0.9427,0.9405,0.9343,0.9293,0.9318
20260603_172116,LR+CamemBERT,test,0.9037,0.9033,0.9037,0.9097,0.9097,0.9097,0.897,0.897,0.897
20260603_172116,LR+TF-IDF,train,0.999,0.999,0.999,0.9996,0.9984,0.999,0.9982,0.9996,0.9989
20260603_172116,LR+TF-IDF,test,0.9701,0.97,0.9701,0.969,0.9751,0.972,0.9714,0.9645,0.9679
